롯데시네마 홍대입구,001144
롯데시네마 청주용암,004039
롯데시네마 장안,001107
롯데시네마 인천터미널,015058
롯데시네마 은평(롯데몰),001239
롯데시네마 용인역북,002246
롯데시네마 인천아시아드,015054
롯데시네마 아산터미널,005045
롯데시네마 신도림,001217
롯데시네마 수유,001244
롯데시네마 성남중앙,002244
롯데시네마 서청주(아울렛),004031
롯데시네마 부평역사,015036
롯데시네마 부평,015023
롯데시네마 부천,002212
롯데시네마 라페스타(일산),002059
롯데시네마 대전관저,013035
롯데시네마 대전(백화점),013007
롯데시네마 대전센트럴,013032
롯데시네마 남원주,003024
롯데시네마 롯데시네마 김포공항,001188
롯데시네마 대전둔산(월평동),013028
CGV 청주(서문),004017
CGV 정읍,008048
CGV 강릉,001194
CGV 오산,002141
CGV 포천,002263
CGV 파주야당,002266
메가박스 남춘천,003206
메가박스 별내,002054
메가박스 안산중앙,002087
